url,img,discription
https://www.ebay.com/itm/236252802371?itmmeta=01KWF1MP4Y1F14TFE9P548N355&hash=item3701c3ad43:g:lK0AAOSwSeFkGfyu&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Lur%2BaEmb%2BbqEfpvCT0pcFZCBsYMjpuhZa9jjjK5NsCnr4dFTVYoOwehWAYJL1NLqqNrIjPfgON3ufUMf8A6YkH6NHYUvzbWQa2GRAHckERpVRLlYLRD%2Bp1N3Z5DFSngSHEvscf38%2FnYJ9BiAaVIcQUBFbQstI4equvZEjkG3KnszxgO1F7IELekHNWL3KyzU9vmc4ZQjM3WS292bL4PEl0bYj8hWROS1Eupgukn%2FYZlmNJL67WNAWAevBl%2FNQ30kohl1lib4TDvwqbJNLjfS0HTo%7Ctkp%3ABFBMxuLS4eNn&var=536813118477,./ebay_files/s_1x2.gif,Apple iPhone SE 3rd Gen (2022) 64/128/256GB-Unlocked -Refurbished Excellent - Image 1 of 4
https://www.ebay.com/itm/236252696651?epid=6041725386&itmmeta=01KWF1MP4YS5D2BMNZV3327WE8&hash=item3701c2104b:g:t6IAAOSwLsdkCgAA&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuoUPIWpqL7186fUlDPKaZr%2BxTvWMT13diIypr56NHinKj4KyKdPuUMy5E9r3WmQh6DOS3ZgTcg1%2B0Wfy4IqivrqoCjdVMbQKnW65ewEFIlcc9er%2FODKC0Kbq4h4J8lo01KAZ%2Fwz7tVMKLgN7gELNtUJZCh%2F5gEBzFCwi4Yv2VoOvPJ4lC5mZtdt70WujL%2BAwdZh6D7Roi87aj063uNI6odMcOpn58Y%2Bks8xACgklkODb0Gc7Wp%2F029S%2F25jhEpPaPDoNfOJdOTDcjux%2BtvKxycB%7Ctkp%3ABFBMxuLS4eNn&var=536813094588,./ebay_files/s_1x2.gif,"Apple iPhone 12 Mini, 64/128/256GB - Unlocked-  Refurbished Excellent - Image 1 of 4"
https://www.ebay.com/p/28050339198?iid=186382972121&var=694433059834,./ebay_files/s-l960(20).webp,Google Pixel 6 5G GB7N6 Unlocked AT&T T-Mobile 128GB 512GB Very Good Refurbished - Image 1 of 4
https://www.ebay.com/p/19056929172?iid=355617734563&var=624734829921,./ebay_files/s-l960(21).webp,Google Pixel 7 GVU6C 128GB 256GB Unlocked Very Good Refurbished 1 Year Warranty - Image 1 of 4
https://www.ebay.com/itm/167822874266?itmmeta=01KWF1MP4YR1Q10BSE56Q1GVY6&hash=item271305d69a:g:b1kAAeSwIY9o2fUT&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurkekAZqXi6uAtXrLIdZb8jGI11Lm1WM6j1qLDGdlnG73RRAI%2BjrnG6g6rQwrgV49VM5k1sR4Edi8Lz6wJs%2BCw6TmuOw72Uw09Pb2pKynFB%2BvzD76H%2FvhKjgumws%2BOx9JBHr4HmJTBg1UQwrOIiG4ox5QBRT21ABLdLGIJczKVtBiv3tvvyL1g2XEzlWMsYGglNOQFK%2BHBVkc%2FFEnrIa2jroNpiwVoS%2FTjBTI4xLHGlS5BXrJJTmQ1UJ5gQA8iaHzSLPhMHqVxdk%2BGeTbgbdCci%7Ctkp%3ABk9SR8ji0uHjZw,./ebay_files/s-l960(22).webp,Unlocked Smartphone - Android - Image 1 of 4
https://www.ebay.com/itm/397652414560?itmmeta=01KWF1MP4Y6BYNX48TSK9VC7CT&hash=item5c95ee5060:g:QJAAAeSwDahpSPNN&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LuqqcQ5vSofz50ZHqAZnm2Ou6JWPG2QDTd8oipp33ihg8KNJrHkY9GiXvCbMug5I8sXW8V6cF%2Fhs1VJSz5hYftrfRRXOM%2FIBv3fhFhtDuWWl3nzPFyEcdVnE1Uju5hvtdb4k7v2Dd2Cdi8P21BUtuGX9BRC5nk7wMhhKsa59AvTxmssDA5ZidQ4BHCd4sRizGQNz65aBw3oIjOj%2FfDxjTuHnbAZZzHfP%2BA7oQv4cO605gw%3D%3D%7Ctkp%3ABk9SR8ji0uHjZw,./ebay_files/s-l960(23).webp,65W Type USB C Super Fast Wall Charger+3ft Cable For Samsung Galaxy S22 S21 S23 - Image 1 of 4
https://www.ebay.com/itm/397536648666?itmmeta=01KWF1MP4YF1RAHNR7JHYA70E5&hash=item5c8f07ddda:g:~R4AAOSw2WNmA8Ek&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurF9JwdMFCyDJSSK%2FbBOKYjoLMDNSLE3HL%2BHH19wx39PgrMTKzWVXKppxPZBaAMq0aUNG8ytB4vlLXgx47mEuf1CGy5LTQyYv5QK2dmoVMMIchkrN%2FHxC8pmF7QXKnJLrkNfkdKunJSdcufc2vYZNbwe6ND8sNEFq0IvEgI9IZKuuwonAS2Y299yTOVM7wIz%2FIIiQ4ZKPcoe5Y2eXCqWoRXIvLROP%2FVkOlzzu8tuGK7eZ2Njl8dXSjZAve9sqmJ9VCp8mTqyE2GyIakjOlo7%2Fjg%7Ctkp%3ABk9SR8ji0uHjZw&var=665917480053,./ebay_files/s-l960(24).webp,45W USB C Super Fast Wall Charger & 6FT Cable Fit Samsung Galaxy S24 S23 S22 - Image 1 of 4
https://www.ebay.com/itm/397676422353?itmmeta=01KWF1MP4Y9DMHKDAA9ZGN77DP&hash=item5c975ca4d1:g:De8AAeSwQ7dowU9g&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luo0mW1TnD8%2B876RlBoF--cD60Fug4hDbrWZreBwzDoYoV2E6JOzPk%2BcoD6FN0QSfgQOEGmOcb2EmjKzf50HuQtHMGleIm6Lxhtb5nL8xU2NpVY9WZwKoSLA9Eh9aICGQA58aR5HbY2OyAf20HfcI6rWjm8MMR7MPhb%2F9hevuFHVq1pd8k%2Bw%2B8qCp%2FLdvNVVeKT88QiNLCCq8bcDa7nR4z75AdDkxd3P2avdYDHOrSv1XmSxusBFULFE3WlV1xmOk47wcMjdW6XWpFddUHBFe%2BsE%7Ctkp%3ABk9SR8ji0uHjZw,./ebay_files/s-l960(25).webp,65W PD Power Adapter Duo Wall Charger 1 USB-C Cables For Samsung Galaxy S23 S22 - Image 1 of 3
https://www.ebay.com/itm/376165074557?itmmeta=01KWF1MP4Y9D7DK307Q8YE0M14&hash=item57952f867d:g:7ZQAAOSw5WxmPDDJ&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LupR3oQWHRrq85zLXXv7gKPGEuia0CIP%2BERP93ksfOi1it4lW3VO%2Fu%2BngSVY7djNtEZn5AHjmIOq2slzKFX8CNDzw8h1JFWDYYLXuQFYtDPb2o5F2dSZbCffTR%2BQZ3k6AD8uTWJ4EyTGdHMsTdCtdOgWjN%2FKsBet1qREsMlHdyFaRLMavccX--cdFEQZcVKVBDbAXOTLlOnFj2fRr2D3dkEo7Ru8rzgdMJ01iA%2FtQkk3rA%3D%3D%7Ctkp%3ABk9SR8ji0uHjZw&var=644901241765,./ebay_files/s-l960(26).webp,45W Super Fast Charging Type C Wall Charger+Cable For Samsung Galaxy S20 S22 - Image 1 of 4
https://www.ebay.com/itm/355805042031?itmmeta=01KWF1MP4Y364979MHFZVACZRJ&hash=item52d7a2156f:g:MzYAAOSwBKRmclU-&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LupspWSDdCmBXb329iYeXSiK3pfuCyrCCRaLRpzAZ%2B%2BqAeZ%2B%2BMCgItCsWW1e3Fq9VTF6moGpFEiUfarR484wSqibvG%2F38midomsOWkumMMiLZ2V8sAWSaAgmkkrZuJvVmB54HEamKOa%2B3ZIL7G7WnOjzgxeElzoh3mo4IQfFObfo1ziIShIih%2FKJOCryUh63NzSwoo3094mJcFdGlae9dhhYtnGO1ChHiYpqvS4ZuPIkPw%3D%3D%7Ctkp%3ABk9SR8ji0uHjZw&var=624878714445,./ebay_files/s-l960(27).webp,45w Type USB-C Super Fast Wall Charger +6FT Cable For Samsung Galaxy S23 S21 S22 - Image 1 of 4
